Compatability,Data Type Integrity,Documentation,Encryption,Exception Handling,Format,Functional Semantics,Functional Syntax,Input/Output Handling,Resource Handling,Structure
Data Type Integrity,0.00,5,7,2,8,5,1,1/5,2,6
Documentation,0.00,0.00,2,1/8,3,2,1/5,1/6,1/7,2
Encryption,0.00,0.00,0.00,1/7,2,1/6,1,1/8,1/8,1
Exception Handling,0.00,0.00,0.00,0.00,9,4,9,3,4,8
Format,0.00,0.00,0.00,0.00,0.00,1/5,1,1/8,1/8,1/2
Functional Semantics,0.00,0.00,0.00,0.00,0.00,0.00,5,1/8,1/9,1
Functional Syntax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1/3,1/4,1/2
Input/Output Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8
Resource Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8
Structure,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
