Usability,Data Type Integrity,Documentation,Encryption,Exception Handling,Format,Functional Semantics,Functional Syntax,Input/Output Handling,Resource Handling,Structure
Data Type Integrity,0.00,1/4,1,1/9,1,1,1,1/9,1,1
Documentation,0.00,0.00,4,1/6,4,4,4,1/6,4,4
Encryption,0.00,0.00,0.00,1/9,1,1,1,1/9,1,1
Exception Handling,0.00,0.00,0.00,0.00,9,9,9,1,9,9
Format,0.00,0.00,0.00,0.00,0.00,1,1,1/9,1,1
Functional Semantics,0.00,0.00,0.00,0.00,0.00,0.00,1,1/9,1,1
Functional Syntax,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1/9,1,1
Input/Output Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,9
Resource Handling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
Structure,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
